2026-07-21 04:51:26 install libkrb5-3:arm64 <none> 1.20.1-2+deb12u5
2026-07-21 04:51:26 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:26 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:26 install libgssapi-krb5-2:arm64 <none> 1.20.1-2+deb12u5
2026-07-21 04:51:26 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:27 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:27 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2026-07-21 04:51:27 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-07-21 04:51:27 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-07-21 04:51:27 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2026-07-21 04:51:27 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2026-07-21 04:51:27 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2026-07-21 04:51:27 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2026-07-21 04:51:27 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-07-21 04:51:28 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-07-21 04:51:28 install libnghttp2-14:arm64 <none> 1.52.0-1+deb12u3
2026-07-21 04:51:28 status half-installed libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-07-21 04:51:28 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-07-21 04:51:28 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:28 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:28 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:28 install libssh2-1:arm64 <none> 1.10.0-3+b1
2026-07-21 04:51:28 status half-installed libssh2-1:arm64 1.10.0-3+b1
2026-07-21 04:51:29 status unpacked libssh2-1:arm64 1.10.0-3+b1
2026-07-21 04:51:29 install libcurl4:arm64 <none> 7.88.1-10+deb12u15
2026-07-21 04:51:29 status half-installed libcurl4:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:29 status unpacked libcurl4:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:29 install curl:arm64 <none> 7.88.1-10+deb12u15
2026-07-21 04:51:29 status half-installed curl:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:29 status unpacked curl:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:29 install libgpm2:arm64 <none> 1.20.7-10+b1
2026-07-21 04:51:29 status half-installed libgpm2:arm64 1.20.7-10+b1
2026-07-21 04:51:30 status unpacked libgpm2:arm64 1.20.7-10+b1
